,Imagen,Nombre,Cantidad de Roms,Descargas de Roms
,,M.A.M.E. - Multiple Arcade Machine Emulator,33900,14829985
,,Super Nintendo Entertainment System,3963,6579175
,,Sony PSX/PlayStation 1,845,5210797
,,Nintendo DS,6457,4510894
,,Nintendo 64,834,3686052
,,Game Boy Advance,2668,3164590
,,Nintendo Entertainment System,2573,2805383
,,Neo Geo,357,2596278
,,PlayStation Portable,300,2539636
,,Nintendo GameCube,153,2526573
,,Sony PlayStation 2,155,1656086
,,Nintendo Wii,70,1559055
,,Sega Genesis,1518,1481325
,,Sega Saturn,349,1002158
,,Nintendo Game Boy Color,1330,445108
,,Capcom Play System 2,239,420589
,,Capcom Play System 1,136,379522
,,Nintendo Game Boy,1521,355505
,,PC Engine - TurboGrafx16,621,330183
,,Sony PlayStation 3,17,313014
,,Sega NAOMI,74,309034
,,Atari 2600,618,305509
,,Sega Master System,476,281968
,,Sharp X68000,3231,266092
,,Atari ST,8361,200487
,,ZX Spectrum,3603,176327
,,Commodore 64 Tapes(C64/CBM64),1682,130184
,,Sega Game Gear,454,122068
,,Nintendo Famicom (Family Computer System),145,94151
,,Capcom Play System 3,8,89695
,,Sega 32X,38,84579
,,Atari 5200,93,81998
,,Atari 7800,58,64492
,,Sega Dreamcast,4,59989
,,Atari Lynx,86,57378
,,Atari Jaguar,62,57043
,,Neo Geo Pocket,76,46111
,,Commodore 64 Preservation Project,1663,43364
,,Acorn BBC Micro Model B,4753,33459
,,Philips CD-i,44,31784
,,Bandai Wonderswan Color,90,17328
,,Bandai Wonderswan,143,16657
,,Nintendo Virtual Boy,25,15601
,,3DO Interactive Multiplayer,3,14119
